System,Dataset,MAPE,MAE,RMSE
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.5184362720751888,0.37038529606863163,0.4671647666660741
xz,ambivert.wav.tar.csv,1.404201175073241,13.078845718114863,17.1068942423225
xz,artificl.tar.csv,0.2922980139000127,0.006318410474563617,0.007535213057339299
xz,deepfield.tar.csv,0.6168039646793245,5.588027191946382,7.519225159971299
xz,enwik8.tar.csv,2.1071921128504907,71.28502775060434,93.05312473420766
xz,fannie_mae_500k.tar.csv,0.9500013594264067,29.955646776043825,35.73714472427387
xz,large.tar.csv,0.44254789490943214,1.8189214818319612,2.2427395462216553
xz,misc.tar.csv,0.23019828373483645,0.08890335567695541,0.11915258390118284
xz,silesia.tar.csv,0.9860528699335548,61.94945093678572,78.10259116931933
xz,uiq-32.bin.csv,1.2459491184748905,71.0658747847546,90.1038533159632
xz,uiq2-16.bin.csv,1.1040418181328036,31.79916222197859,42.61718195448841
xz,uiq2-4.bin.csv,0.6192689109749449,4.2006926315223465,5.694610436729736
xz,uiq2-8.bin.csv,0.8361576163331274,11.593824171247775,15.32619573438258
xz,vmlinux-5.10.tar.csv,0.2840248808062,1.8340258570659003,2.2322209771727093
z3,AUFNIRA_z3.637557.smt2.csv,7.65163277964016,88.10939790458876,99.32372730796543
z3,LRA_formula_277.smt2.csv,0.10854503965304561,0.3173382564442373,0.3231395525351324
z3,QF_AUFBV_891_sqlite3.smt2.csv,5.377426394437484,10.206824649278861,13.86248823176382
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.12880572582885608,0.9208789273309842,1.128461401947577
z3,QF_BV_bench_3176.smt2.csv,10.88056735867188,133.15499870261536,152.09641333266475
z3,QF_BV_bench_935.smt2.csv,18.80319793739852,93.15271097998387,96.85083143545499
z3,QF_LIA_tightrhombus.csv,0.6953738637203594,0.5895533156984317,0.8046168083149136
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.055098960598106296,0.7385003650526988,0.871185019690213
z3,QF_NRA_hong_9.smt2.csv,0.002203130053981438,0.00930223048792572,0.01577689338269174
z3,QF_RDL_orb08_888.smt2.csv,0.029130670976058367,0.2666839500203259,0.3348052952586795
z3,QF_UFLIA_xs_23_43.smt2.csv,0.3794485870277666,8.137915642725138,9.769186233187451
z3,QF_UF_PEQ018_size6.smt2.csv,10.102798813986539,158.83554041502182,198.7458904888977
