Dataset,MAPE,MAE,RMSE
deepfield.tar.csv,0.048860033108199176,0.0668757794377171,0.11008375467390993
enwik8.tar.csv,0.03944944652604702,0.07038592774935636,0.11209789921056952
fannie_mae_500k.tar.csv,0.02290135932648549,0.03928562102491649,0.06133973084493827
large.tar.csv,0.06626805241450993,0.066258514496792,0.10401165322041754
misc.tar.csv,0.06451229668486472,0.009347146706613385,0.013256650408439988
silesia.tar.csv,0.016016968862838772,0.028390776459635874,0.04645497228761953
uiq-32.bin.csv,0.032762212226239436,0.06970792190167908,0.11063875058057558
uiq2-16.bin.csv,0.04074749326894041,0.07655543228146637,0.1218261787849743
uiq2-4.bin.csv,0.062342562976443125,0.07435801115082315,0.11938619912042425
uiq2-8.bin.csv,0.054344935944947326,0.08630870890298319,0.13586398572031255
vmlinux-5.10.tar.csv,0.04156069712112712,0.05039074486219468,0.08126353924188705
